InnerRadius,Length,Quadratic,Linear,InnerRadius2,Length2,Quadratic2,Linear2,Generation,Fitness
2.785070,44.1456,-0.008193,0.306436,3.209030,37.9422,0.001423,-0.078648,0,5.20443
6.646530,65.2695,0.0014210000000000002,-0.119595,2.040810,51.5247,-0.002964,0.179673,0,5.28597
6.249200,42.8384,0.002491,-0.14003,3.770850,38.4759,-0.000356,0.024653,0,5.11788
7.290460,66.8939,0.004028,-0.30047399999999996,3.743650,45.2208,0.004745,-0.249696,0,5.1596400000000004
0.414064,125.733,-0.0009429999999999999,0.14693,6.133800,66.8088,0.003556,-0.230589,0,4.61805
4.326880,42.2737,-0.004752,0.139626,7.046390,73.7547,0.0016539999999999999,-0.20158900000000002,0,5.5140400000000005
5.597330,40.7655,0.01187,-0.499328,1.150960,37.9964,0.0036899999999999997,0.019648,0,4.9852300000000005
6.642890,44.8572,0.008187999999999999,-0.391289,3.633010,53.8606,0.002374,-0.100833,0,5.307519999999999
2.844930,48.0053,0.000711,-0.056405,2.879840,77.3823,0.002372,-0.136599,0,5.58606
4.058490,114.997,0.001064,-0.124142,2.627940,46.9998,0.002134,-0.133338,0,5.0805
2.824590,104.501,-0.0013,0.145952,6.234660,69.0287,-0.001068,0.049479,0,4.96699
6.420770,76.2917,-0.00035499999999999996,0.033591,6.429580,43.0937,0.00807,-0.37158,0,5.07185
7.040930,41.9489,0.002607,-0.19195299999999998,5.233760,75.789,-0.000121,-0.028681,0,5.23767
0.348172,39.8914,-0.001778,0.11653499999999999,3.451960,88.6907,0.002251,-0.161422,0,5.34872
4.447780,45.4373,0.007598000000000001,-0.297516,4.759620,46.6672,0.005456,-0.294025,0,5.29623
6.367150,56.2507,0.002372,-0.137773,4.570440,39.5897,-0.004868,0.180373,0,5.45054
1.644490,83.3382,-0.0015400000000000001,0.113133,1.468690,40.3323,-0.012228,0.482509,0,5.30302
3.320120,51.5324,-0.005221,0.252399,7.153710,138.503,0.000472,-0.067998,0,5.14679
5.907040,47.108,-0.002614,0.059437000000000004,4.995020,74.7525,-0.001661,0.087591,0,5.52018
1.418720,43.7975,-0.0034409999999999996,0.17440899999999998,3.994010,51.5556,0.002018,-0.076783,0,5.38071
4.018990,46.1953,0.001657,-0.144285,7.112610,125.888,0.00118,-0.17338800000000001,0,5.21515
4.046690,57.0396,0.002728,-0.142649,5.734780,44.2848,-0.002261,0.0022649999999999997,0,4.714930000000001
1.461600,54.8506,-0.002723,0.242123,1.094650,78.4111,-0.002487,0.193609,0,5.3295
3.892230,40.7887,-0.002491,0.127195,5.667370,56.9468,0.0007099999999999999,-0.07285599999999999,0,5.88762
1.068890,49.9777,-0.005692,0.338187,6.843870,95.8996,0.001418,-0.174129,0,5.35173
2.317880,39.2262,-0.004509,0.212892,4.107510,95.6134,0.000592,-0.053114999999999996,0,5.08501
5.124220,38.0583,0.011276000000000001,-0.48075100000000004,4.356810,52.9788,-0.003915,0.204942,0,5.03966
0.043840,41.5234,-0.007469,0.46121,0.285692,38.1278,-0.010801999999999999,0.446242,0,5.41659
3.187750,78.6354,-0.001656,0.164649,3.881860,137.838,0.000589,-0.091887,0,4.56885
4.201000,83.5625,0.00035499999999999996,-0.026688,2.955130,41.9875,-0.0067670000000000004,0.266897,0,5.44306
6.769510,50.8672,0.001424,-0.06897400000000001,2.926530,91.1272,-0.000475,0.023216,0,4.9175699999999996
2.369240,50.9059,-0.003442,0.155641,1.281710,40.5721,-0.0048590000000000005,0.330358,0,5.46715
6.088710,59.8242,0.0009480000000000001,-0.066475,2.885430,44.0295,-0.011753,0.46492100000000003,0,5.21454
3.981220,92.8753,-0.000712,0.04155,5.220280,49.3512,-0.002613,0.07670199999999999,0,5.11187
2.287540,38.6925,0.005581,-0.197278,6.745490,77.7923,0.00011899999999999999,-0.004534000000000001,0,5.38793
6.425540,38.2594,0.009376,-0.414764,5.995430,56.1037,0.003674,-0.248295,0,5.21785
5.677330,75.9978,0.00225,-0.187453,1.270160,55.4849,-0.00427,0.240623,0,5.19473
0.774913,78.5503,-0.001893,0.180667,3.677180,52.2981,-0.004152,0.21909800000000001,0,4.97297
3.300050,51.5556,-0.004509,0.220702,4.714920,116.266,-0.000356,0.021945,0,5.21174
6.545050,48.4926,0.00225,-0.17781,0.403980,48.0826,-0.004622,0.317063,0,5.07747
3.876550,81.9382,-0.002252,0.154191,1.080460,41.6008,-0.008779,0.445101,0,5.40201
1.318240,80.0431,-0.001777,0.136195,4.979320,52.9092,0.004029,-0.279296,0,4.76227
3.129220,59.4142,0.002137,-0.08767899999999999,5.785140,90.2686,0.00118,-0.16179000000000002,0,4.9076900000000006
6.340220,53.7446,0.003556,-0.23044800000000001,4.293010,56.5755,0.00237,-0.160673,0,5.26103
4.494130,40.5566,0.0071200000000000005,-0.328044,3.234400,49.0186,-0.00095,0.030004000000000003,0,5.40353
1.814190,71.411,-0.001537,0.164662,6.907270,103.836,0.001181,-0.153525,0,4.84253
2.902960,54.0926,-0.0013050000000000002,0.060049,5.404990,39.2727,0.008075,-0.277617,0,5.38169
2.659810,68.2552,0.000949,-0.046939999999999996,5.330040,45.1202,-0.004988,0.168229,0,4.90584
3.025000,115.662,-0.000118,0.010607,2.564300,65.3933,-0.0016579999999999998,0.133484,0,5.02683
0.717445,107.053,-0.000826,0.121366,4.951150,39.3964,-0.000592,0.057482000000000005,0,5.16519
3.610200,38.8704,0.006178,-0.169101,2.865680,115.152,-0.0009460000000000001,0.10358800000000001,0,4.98299
5.787090,73.7315,-0.001187,0.05182899999999999,5.900320,37.7798,-0.002857,-0.018368000000000002,0,5.39123
4.084500,76.137,0.002014,-0.1434,0.752804,137.854,-0.000825,0.142529,0,4.32412
